recording,method,latency_budget_ms,seed,budget_windows,der,miss,false_alarm,confusion,jer,der_no_overlap,der_collar250ms,overlap_miss_floor,n_speakers_true,n_speakers_pred,speaker_count_error,latency_median_ms,latency_p95_ms,latency_max_ms,latency_first_ms,n_decisions,turn_accuracy,duration_s,overlap_fraction,embed_s,cluster_s,total_s,rtf,extra_mean_query_size
test_000_1011,online,0.0,0,0,0.2471098265895953,0.0855812459858702,0.0208734746307,0.140655105973025,0.6880291074247084,0.1581986143187067,0.1716178241670012,0.0828516377649325,3.0,3.0,0.0,0.0,0.0,0.0,0.0,233.0,0.8725490196078431,60.0,0.0903361344537815,0.0634957000147551,0.028261300001759,0.1078415000229142,0.0017973583337152,1.0
test_000_1012,online,0.0,0,0,0.5210148250038209,0.1242549289316827,0.0221610881858474,0.3745988078862907,0.8962951715760705,0.5277161862527716,0.4891041162227603,0.1208925569310713,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,235.0,0.5106382978723404,60.0,0.1375173852573018,0.046841300005326,0.0493276000197511,0.1113235000229906,0.0018553916670498,1.0
test_000_1013,online,0.0,0,0,0.313474194665743,0.0481468652580533,0.0223415310010391,0.2429857984066505,0.6251963710698937,0.2916190476190476,0.2339965397923875,0.0453758226532732,5.0,3.0,-2.0,0.0,0.0,0.0,0.0,225.0,0.7307692307692307,60.0,0.047532656023222,0.0600494999962393,0.0275018000102136,0.1035317000059876,0.0017255283334331,1.0
test_000_1014,online,0.0,0,0,0.3140771306141882,0.0968100301539438,0.0172988414537375,0.1999682590065069,0.6259881109974905,0.2338678138443488,0.1876142595978062,0.094588160609427,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,232.0,0.8134715025906736,60.0,0.1035933391761612,0.0496761999966111,0.0476959999941755,0.1136108999780844,0.0018935149996347,1.0
test_000_1015,online,0.0,0,0,0.1991849210392256,0.0485651214128035,0.0249617931737137,0.1256580064527084,0.2025791646313511,0.1569540122882144,0.1007604562737642,0.0439803022584479,3.0,5.0,2.0,0.0,0.0,0.0,0.0,230.0,0.8732394366197183,60.0,0.0460035523978685,0.0525621999986469,0.0318119000003207,0.0977046000189147,0.0016284100003152,1.0
test_000_1016,online,0.0,0,0,0.2766097240473061,0.0905059132720105,0.0226675427069645,0.1634362680683311,0.3584245881137854,0.2250589159465828,0.1578947368421052,0.0818002628120893,4.0,5.0,1.0,0.0,0.0,0.0,0.0,227.0,0.8190954773869347,60.0,0.089087656529517,0.0632103999960236,0.0259372000000439,0.1040722999896388,0.0017345383331606,1.0
test_000_1017,online,0.0,0,0,0.2913787430075683,0.0771635406383678,0.02319842053307,0.1910167818361303,0.4025163771439184,0.2443464929091606,0.1659634317862166,0.0707469562356038,4.0,5.0,1.0,0.0,0.0,0.0,0.0,230.0,0.81,60.0,0.0761331444759206,0.0576387000037357,0.0314979999966453,0.106357000011485,0.001772616666858,1.0
test_000_1018,online,0.0,0,0,0.3218965517241379,0.0667241379310344,0.0236206896551724,0.231551724137931,0.3249632806896381,0.2773851590106007,0.1490264603095357,0.0608620689655172,2.0,4.0,2.0,0.0,0.0,0.0,0.0,222.0,0.765,60.0,0.0648063154029741,0.061218299990287,0.0261033999850042,0.1025998999830335,0.0017099983330505,1.0
test_000_1019,online,0.0,0,0,0.3521344076804388,0.0560603463055031,0.0204011657809017,0.2756728955940339,0.8024396765123545,0.3021090632718982,0.278346377684126,0.0488599348534201,4.0,4.0,0.0,0.0,0.0,0.0,0.0,225.0,0.7238095238095238,60.0,0.0513698630136986,0.0529851999890524,0.0271152000059373,0.0959519000025466,0.0015991983333757,1.0
test_000_1020,online,0.0,0,0,0.5105811219348337,0.0935505542492442,0.0298958683238159,0.3871346993617736,0.7316657415898802,0.4836363636363636,0.4082636497786522,0.0843130668458179,4.0,5.0,1.0,0.0,0.0,0.0,0.0,223.0,0.5602094240837696,60.0,0.0920763022743947,0.047512099990854,0.0290899999963585,0.0944413999968674,0.0015740233332811,1.0
