method,latency_budget_ms,n_seeds,n_recordings,der,der_noise_scale,miss,miss_noise_scale,false_alarm,false_alarm_noise_scale,confusion,confusion_noise_scale,jer,jer_noise_scale,turn_accuracy,turn_accuracy_noise_scale,n_speakers_pred,n_speakers_pred_noise_scale,latency_median_ms,latency_median_ms_noise_scale,latency_p95_ms,latency_p95_ms_noise_scale,extra_mean_query_size,extra_mean_query_size_noise_scale
offline_ahc,inf,3,72,0.33025187078884904,0.042740902503398945,0.0809347132378834,0.008016437155790448,0.023927775169797168,0.0020438000952037157,0.22538938238116835,0.04430982018589959,0.5836634678332336,0.09629114806955395,0.757117698031067,0.05286436647587075,3.138888888888889,0.23814483610391987,29633.680555555555,143.07915123636562,56185.069444444445,41.9025441473237,,
offline_spectral,inf,3,72,0.27375302530534434,0.02827809975645512,0.0809347132378834,0.008016437155790448,0.023927775169797168,0.0020438000952037157,0.16889053689766367,0.01920168666885837,0.49989198633996357,0.03696726388132183,0.8230376541844043,0.020696708873469794,3.2222222222222223,0.03402069087198847,29633.680555555555,143.07915123636562,56185.069444444445,41.9025441473237,,
online,0.0,3,72,0.315974274653616,0.055832036897450026,0.0809347132378834,0.008016437155790448,0.023927775169797168,0.0020438000952037157,0.21111178624593532,0.05228445649822104,0.5508738305363621,0.12649410846873776,0.77514785453881,0.061499444810822715,4.055555555555555,0.22308858894734754,0.0,0.0,0.0,0.0,1.0,0.0
online,125.0,3,72,0.315974274653616,0.055832036897450026,0.0809347132378834,0.008016437155790448,0.023927775169797168,0.0020438000952037157,0.21111178624593532,0.05228445649822104,0.5508738305363621,0.12649410846873776,0.77514785453881,0.061499444810822715,4.055555555555555,0.22308858894734754,0.0,0.0,0.0,0.0,1.0,0.0
online,250.0,3,72,0.3059329452478531,0.03683215720940549,0.0809347132378834,0.008016437155790448,0.023927775169797168,0.0020438000952037157,0.2010704568401724,0.029846012208721604,0.5359395915892162,0.0890138050203763,0.7889841211125688,0.036452271212053966,4.125,0.25685058345704076,250.0,0.0,250.0,0.0,1.962591579990519,0.0009630938311253573
online,500.0,3,72,0.302047976921214,0.026592997449742632,0.0809347132378834,0.008016437155790448,0.023927775169797168,0.0020438000952037157,0.19718548851353335,0.028210882902541215,0.5101750001495573,0.07131359348307417,0.7954084477463638,0.03353828461185547,4.333333333333333,0.41247895569215287,500.0,0.0,500.0,0.0,2.880146004134451,0.001273493695729783
online,1000.0,3,72,0.30131248879664796,0.037909670083194964,0.0809347132378834,0.008016437155790448,0.023927775169797168,0.0020438000952037157,0.1964500003889673,0.03322103327259804,0.507242908645904,0.08956146116436724,0.7985231096008651,0.0488396627220731,4.555555555555555,0.2906729102285606,1000.0,0.0,1000.0,0.0,4.533766819989485,0.015983257702989726
online,2000.0,3,72,0.304875659010879,0.013412142874597062,0.0809347132378834,0.008016437155790448,0.023927775169797168,0.0020438000952037157,0.20001317060319823,0.012260518633690418,0.5011879326979083,0.06557193328934564,0.7983337037872578,0.021413531650629578,4.791666666666667,0.3584302194601091,2000.0,0.0,2000.0,0.0,7.1570866183666295,0.08042329578578497
online,4000.0,3,72,0.3190702857621377,0.02526337859043466,0.0809347132378834,0.008016437155790448,0.023927775169797168,0.0020438000952037157,0.21420779735445702,0.02103472254323666,0.5360365868130013,0.08190245488180292,0.779404239696948,0.027355772552010944,4.916666666666667,0.623609564462324,4000.0,0.0,4000.0,0.0,10.394654691807817,0.275191034127518
online,8000.0,3,72,0.31590550800644995,0.020327909339955298,0.0809347132378834,0.008016437155790448,0.023927775169797168,0.0020438000952037157,0.21104301959876937,0.02057453770493436,0.5265406926453389,0.07273676583733879,0.7827060227066404,0.02750611207100702,4.819444444444445,0.6300720123452084,8000.0,0.0,8000.0,0.0,12.9590762331033,0.5207623263180031
online,16000.0,3,72,0.3160079747670028,0.019367250797594947,0.0809347132378834,0.008016437155790448,0.023927775169797168,0.0020438000952037157,0.21114548635932218,0.019731503143660224,0.5267980543943178,0.07086977925577158,0.7826560908965957,0.02646922746842698,4.819444444444445,0.6300720123452084,16000.0,0.0,16000.0,0.0,13.949522772951042,0.6913021580371679
