method,seed,temperature,raw_ece,raw_ace,raw_mce,raw_brier,raw_nll,raw_accuracy,raw_mean_confidence,raw_overconfidence,raw_aurc,raw_aurc_oracle,raw_error_detection_auroc,raw_n,raw_n_excluded,cal_ece,cal_ace,cal_mce,cal_brier,cal_nll,cal_accuracy,cal_mean_confidence,cal_overconfidence,cal_aurc,cal_aurc_oracle,cal_error_detection_auroc,cal_n,cal_n_excluded,risk_at_coverage_100,risk_at_coverage_90,risk_at_coverage_80,risk_at_coverage_70,risk_at_coverage_50,aurc
online,0,0.07836542688315398,0.1695452951375192,0.16235681008461006,0.8955823037797677,0.1897439173919974,0.6407393505042998,0.7808988764044944,0.6185420663198844,-0.16235681008461,0.17602209684794853,0.02600011416791022,0.6417822373946364,4806,625,0.032538514259703284,0.03422437483372319,0.5204404775744198,0.15895664349423902,0.5155410631678985,0.7808988764044944,0.8103407417168038,0.029441865312309412,0.1495290448049637,0.02600011416791022,0.6825228010057924,4806,625,0.21910112359550563,0.18566473988439305,0.17087126137841352,0.15992865636147444,0.16021639617145236,0.17602209684794853
naive_online,0,0.07091805843579724,0.19561301572847395,0.1905475161639309,0.375,0.16479889198314507,0.5598967477844232,0.8204327923429047,0.6322507856502649,-0.18818200669263974,0.10192618258635086,0.017203136520577176,0.7383248663089818,4806,625,0.06492100126079153,0.06166724757090987,0.3427641781144849,0.12347705009853169,0.41270976736074333,0.8204327923429047,0.8295392063706607,0.009106414027756027,0.07166626637284834,0.017203136520577176,0.8069572814695153,4806,625,0.1795672076570953,0.13387283236994219,0.11443433029908973,0.10463733650416171,0.08322929671244278,0.10192618258635086
offline_ahc,0,0.31715519898949,0.10578340556454445,0.10537931512436219,0.2515761492196347,0.18821043838666937,1.20370319755477,0.7317935913441531,0.8371729064685153,0.10537931512436216,0.22938327671392833,0.03972679639935242,0.662402035728931,4806,625,0.13110737509318154,0.13504406659422996,0.5178838364408882,0.18992352162992604,0.5852427592383275,0.7317935913441531,0.6945087508578657,-0.03728484048628744,0.22973012077431818,0.03972679639935242,0.6593412071655506,4806,625,0.2682064086558469,0.2277456647398844,0.1953185955786736,0.17746730083234244,0.1735330836454432,0.22938327671392833
online,1,0.15765152253315867,0.19210033080258812,0.18644143447711767,0.47772195648315285,0.16500794223803306,0.5767104944901434,0.8253201763594373,0.6388787418823197,-0.18644143447711758,0.09710165459468324,0.016249993499419833,0.7272411233195702,4763,668,0.1451046950477435,0.1383148922579407,0.494856047526849,0.15060365234085926,0.48944792980135204,0.8253201763594373,0.6902976786955178,-0.1350224976639195,0.09130873719489033,0.016249993499419833,0.7519580553000802,4763,668,0.17467982364056267,0.1436902262654537,0.1251968503937008,0.09928014397120576,0.08564231738035265,0.09710165459468324
naive_online,1,0.13572088082974532,0.1796971647038512,0.17598251765220613,0.8017695555906026,0.15496348451754813,0.5281270000162988,0.8181818181818182,0.642199300529612,-0.17598251765220618,0.08661982138295436,0.01765215238417487,0.7900370155049096,4763,668,0.1425898484438754,0.14034966868453952,0.2894631445599304,0.14160880947002588,0.4644952163014271,0.8181818181818182,0.7095093393319384,-0.10867247884987985,0.0743539157041309,0.01765215238417487,0.8038452329944098,4763,668,0.18181818181818182,0.1404245393048752,0.10288713910761155,0.07708458308338333,0.061712846347607056,0.08661982138295436
offline_ahc,1,0.7790778080544442,0.0787383376129602,0.08042302199206983,0.14556427737165634,0.14527481371115286,0.9242428691488344,0.8028553432710477,0.8679980108232781,0.06514266755223042,0.16579780482645293,0.02087379087790106,0.6663934636241706,4763,668,0.21774794313162463,0.21631097161555585,0.24827253413148043,0.1924698785587187,0.5757952949922489,0.8028553432710477,0.6052556652630664,-0.19759967800798128,0.15758519545116684,0.02087379087790106,0.6631896636232795,4763,668,0.19714465672895234,0.1548868672731514,0.1325459317585302,0.1295740851829634,0.13895885810243494,0.16579780482645293
online,2,0.06105276500337841,0.1719485697421803,0.1681579237587892,0.557541930331515,0.18560370767473205,0.6326731067255762,0.7830843677677256,0.6180530610342061,-0.1650313067335195,0.17223641928787117,0.025462700792257816,0.6572850969749688,4753,683,0.0727949096652405,0.07805224665550492,0.16097415178120356,0.15581275922347876,0.5133960091925905,0.7830843677677256,0.8558792774329662,0.0727949096652406,0.11538281526600849,0.025462700792257816,0.7492655148744639,4753,683,0.21691563223227436,0.1788218793828892,0.16465018411362442,0.1493838292756237,0.13846801346801346,0.17223641928787117
naive_online,2,0.07836542688315398,0.14006094893865326,0.13462979030673183,0.5,0.17845315022749422,0.6044715759167066,0.7769829581317063,0.6423531678249745,-0.13462979030673172,0.14294014343262812,0.026979059350594574,0.6893063879139013,4753,683,0.07550446446227889,0.06930391384454124,0.499974869554055,0.15701330586621762,0.5020748168436563,0.7769829581317063,0.8144888388613944,0.03750588072968819,0.11766378329829785,0.026979059350594574,0.7492193287657936,4753,683,0.22301704186829371,0.19097709209911173,0.17359284587059443,0.16651638112413586,0.12962962962962962,0.14294014343262812
offline_ahc,2,0.19250122715283505,0.10938634270237552,0.10566716587546954,0.23783157622166745,0.19906510908175376,1.1798914498462905,0.740584893751315,0.842951310037759,0.10236641628644405,0.25840762187569477,0.037033635309578816,0.5755988258497382,4753,683,0.08083485801664962,0.0839856126056775,0.3017703902822799,0.19419515397063555,0.6653372928881456,0.740584893751315,0.7946268045568206,0.05404191080550558,0.2553830534970652,0.037033635309578816,0.5819437532256875,4753,683,0.259415106248685,0.226507713884993,0.2140978432403998,0.2146077547339946,0.2159090909090909,0.25840762187569477
