offline_spectral_percentile,der,confusion,jer,speaker_count_bias
0.8,0.27904933751636823,0.1636404870049842,0.37407120288499407,0.125
0.7,0.2883394329953294,0.17293058248394536,0.47417810693305834,-0.5
0.9,0.34844380433569616,0.23303495382431214,0.42026261670183274,1.125
0.95,0.3989224968362345,0.2835136463248505,0.43922965624780447,1.75
0.5,0.4796093743406186,0.36420052382923457,0.8458569335732959,-1.875
0.0,0.579227515146431,0.46381866463504695,1.0094382772248638,-2.375
