method,seed,coverage,risk
online,0,0.00020807324178110696,1.0
online,0,0.005201831044527674,0.56
online,0,0.01019558884727424,0.42857142857142855
online,0,0.015189346650020807,0.3972602739726027
online,0,0.020183104452767373,0.3402061855670103
online,0,0.02517686225551394,0.30578512396694213
online,0,0.030170620058260506,0.3103448275862069
online,0,0.03537245110278818,0.29411764705882354
online,0,0.040366208905534745,0.27835051546391754
online,0,0.04535996670828132,0.25688073394495414
online,0,0.05035372451102788,0.23140495867768596
online,0,0.05534748231377445,0.21428571428571427
online,0,0.06034124011652101,0.21379310344827587
online,0,0.06533499791926758,0.20063694267515925
online,0,0.07053682896379526,0.20058997050147492
online,0,0.07553058676654183,0.19559228650137742
online,0,0.08052434456928839,0.18863049095607234
online,0,0.08551810237203496,0.1897810218978102
online,0,0.09051186017478152,0.1793103448275862
online,0,0.09550561797752809,0.18082788671023964
online,0,0.10049937578027465,0.17805383022774326
online,0,0.10570120682480233,0.17716535433070865
online,0,0.1106949646275489,0.17481203007518797
online,0,0.11568872243029546,0.17805755395683454
online,0,0.12068248023304202,0.1724137931034483
online,0,0.1256762380357886,0.17218543046357615
online,0,0.13066999583853517,0.16560509554140126
online,0,0.13566375364128172,0.16257668711656442
online,0,0.1408655846858094,0.15657311669128507
online,0,0.14585934248855598,0.15406562054208273
online,0,0.15085310029130253,0.1489655172413793
online,0,0.1558468580940491,0.15220293724966621
online,0,0.16084061589679569,0.14877102199223805
online,0,0.16583437369954224,0.14554579673776663
online,0,0.17082813150228882,0.14494518879415347
online,0,0.1760299625468165,0.14420803782505912
online,0,0.18102372034956304,0.14482758620689656
online,0,0.18601747815230962,0.14988814317673377
online,0,0.19101123595505617,0.15359477124183007
online,0,0.19600499375780275,0.15286624203821655
online,0,0.2009987515605493,0.15217391304347827
online,0,0.20599250936329588,0.15555555555555556
online,0,0.21119434040782356,0.15270935960591134
online,0,0.2161880982105701,0.15206929740134745
online,0,0.2211818560133167,0.15051740357478832
online,0,0.22617561381606324,0.15179392824287027
online,0,0.23116937161880982,0.15301530153015303
online,0,0.2361631294215564,0.1524229074889868
online,0,0.24115688722430295,0.15530629853321828
online,0,0.24635871826883063,0.15371621621621623
online,0,0.2513524760715772,0.15314569536423842
online,0,0.25634623387432376,0.15584415584415584
online,0,0.26133999167707034,0.15605095541401273
online,0,0.2663337494798169,0.1546875
online,0,0.27132750728256344,0.1526073619631902
online,0,0.27652933832709115,0.15349887133182843
online,0,0.2815230961298377,0.15225424981522542
online,0,0.28651685393258425,0.15468409586056645
online,0,0.2915106117353308,0.15417558886509636
online,0,0.2965043695380774,0.1543859649122807
online,0,0.301498127340824,0.1518288474810214
online,0,0.30649188514357056,0.15274949083503056
online,0,0.3116937161880982,0.15353805073431243
online,0,0.3166874739908448,0.15177398160315375
online,0,0.32168123179359137,0.1520051746442432
online,0,0.3266749895963379,0.15159235668789808
online,0,0.3316687473990845,0.15307402760351319
online,0,0.33666250520183105,0.1526576019777503
online,0,0.34165626300457763,0.15529841656516444
online,0,0.3468580940491053,0.15476904619076184
online,0,0.35185185185185186,0.1543465405085748
online,0,0.35684560965459844,0.15335276967930028
online,0,0.36183936745734496,0.15181138585393905
online,0,0.36683312526009154,0.1537152580828134
online,0,0.3718268830628381,0.1527700055959709
online,0,0.3768206408655847,0.1529541689674213
online,0,0.38202247191011235,0.15359477124183007
