ablation,n_seeds,der,der_seed_sd,der_noise_scale,der_n_contributing,confusion,confusion_seed_sd,confusion_noise_scale,confusion_n_contributing,jer,jer_seed_sd,jer_noise_scale,jer_n_contributing,turn_accuracy,turn_accuracy_seed_sd,turn_accuracy_noise_scale,turn_accuracy_n_contributing,speaker_count_error,speaker_count_error_seed_sd,speaker_count_error_noise_scale,speaker_count_error_n_contributing,miss,miss_seed_sd,miss_noise_scale,miss_n_contributing,false_alarm,false_alarm_seed_sd,false_alarm_noise_scale,false_alarm_n_contributing,n_speakers_pred,n_speakers_pred_seed_sd,n_speakers_pred_noise_scale,n_speakers_pred_n_contributing,extra_mean_query_size,extra_mean_query_size_seed_sd,extra_mean_query_size_noise_scale,extra_mean_query_size_n_contributing,latency_median_ms,latency_median_ms_seed_sd,latency_median_ms_noise_scale,latency_median_ms_n_contributing
full,3,0.302047976921214,0.01880408882878958,0.026592997449742632,72,0.19718548851353335,0.019948106603646525,0.028210882902541215,72,0.5101750001495573,0.05042632554266253,0.07131359348307417,72,0.7954084477463638,0.02371514847840744,0.03353828461185547,72,0.5972222222222222,0.06364688465216443,0.09001028747788693,72,0.0809347132378834,0.0056684770738152255,0.008016437155790448,72,0.023927775169797168,0.0014451849067082586,0.0020438000952037157,72,4.333333333333333,0.29166666666666674,0.41247895569215287,72,2.880146004134451,0.0009004960280488473,0.001273493695729783,72,500.0,0.0,0.0,72
no_bounded_window,3,0.315974274653616,0.03947921189764444,0.055832036897450026,72,0.21111178624593532,0.036970693740545145,0.05228445649822104,72,0.5508738305363621,0.08944484187839115,0.12649410846873776,72,0.77514785453881,0.04348667446494057,0.061499444810822715,72,0.3194444444444444,0.10485881160098263,0.1482927535004349,72,0.0809347132378834,0.0056684770738152255,0.008016437155790448,72,0.023927775169797168,0.0014451849067082586,0.0020438000952037157,72,4.055555555555555,0.1577474540500077,0.22308858894734754,72,1.0,0.0,0.0,72,500.0,0.0,0.0,72
no_spawn,3,0.5245033892341001,0.014008841585442824,0.019811493763269454,72,0.4196409008264195,0.02044181617088265,0.028909093668399895,72,0.934120142851645,0.021515228431812063,0.03042712784582384,72,0.5270377000055791,0.016265967931913504,0.023003552454437925,72,-2.236111111111111,0.16839382851364068,0.23814483610391987,72,0.0809347132378834,0.0056684770738152255,0.008016437155790448,72,0.023927775169797168,0.0014451849067082586,0.0020438000952037157,72,1.5,0.1102396379610246,0.15590239111558088,72,2.880146004134451,0.0009004960280488473,0.001273493695729783,72,500.0,0.0,0.0,72
no_momentum,3,0.4365719424675143,0.018223361112375717,0.02577172443714419,72,0.3317094540598336,0.011547121599997434,0.016330095973087686,72,0.7406783372558903,0.059997306095952885,0.08484900398674655,72,0.6395548745137606,0.01647708693773703,0.023302119815748278,72,1.0833333333333333,0.11023963796102462,0.15590239111558093,72,0.0809347132378834,0.0056684770738152255,0.008016437155790448,72,0.023927775169797168,0.0014451849067082586,0.0020438000952037157,72,4.819444444444445,0.16839382851364101,0.23814483610392034,72,2.880146004134451,0.0009004960280488473,0.001273493695729783,72,500.0,0.0,0.0,72
noncausal,3,0.28801093785039233,0.018831206495681024,0.02663134762204043,72,0.1831484494427117,0.01712676471450265,0.02422090293882262,72,0.4803366574598516,0.044519041401717516,0.06295943213415824,72,0.8141756402321172,0.020657679926075156,0.029214371118617924,72,0.7361111111111112,0.024056261216234387,0.03402069087198856,72,0.0809347132378834,0.0056684770738152255,0.008016437155790448,72,0.023927775169797168,0.0014451849067082586,0.0020438000952037157,72,4.472222222222222,0.25115474055590453,0.3551864403484562,72,2.88026236153983,0.0014940245462866254,0.0021128697758768557,72,500.0,0.0,0.0,72
