offline_ahc_threshold,der,confusion,jer,speaker_count_bias
0.22,0.2880081585902977,0.17259930807891366,0.45527572211393025,0.125
0.18,0.2898887513972871,0.1744799008859031,0.42626466214935,0.625
0.26,0.30271190852732843,0.18730305801594443,0.4975508445704472,-0.375
0.12,0.3055771228773071,0.1901682723659231,0.40550211007492376,2.375
0.15,0.30744975588797735,0.19204090537659335,0.4357754452359824,0.875
0.09,0.3437619023287088,0.22835305181732476,0.4025245091048989,5.375
0.06,0.37031872524906234,0.25490987473767834,0.41738244012915443,10.625
0.32,0.38340091009696015,0.26799205958557615,0.6699268417538926,-1.25
0.4,0.4379644782638478,0.3225556277524638,0.7690776631243665,-1.625
