recording,method,latency_budget_ms,ablation,seed,der,miss,false_alarm,confusion,jer,der_no_overlap,der_collar250ms,overlap_miss_floor,n_speakers_true,n_speakers_pred,speaker_count_error,latency_median_ms,latency_p95_ms,latency_max_ms,latency_first_ms,n_decisions,turn_accuracy,duration_s,overlap_fraction,embed_s,cluster_s,total_s,rtf,extra_mean_query_size
test_000_1000,online,500.0,full,0,0.1458157939046977,0.0756019531907728,0.0227310995117023,0.0474827412022225,0.1742786344154374,0.0839992204248684,0.0582460732984293,0.0680249200202054,3.0,4.0,1.0,500.0,500.0,500.0,500.0,225.0,0.9547738693467336,60.0,0.0729900632339656,0.0674455999978818,0.0414422000176273,0.1241404000029433,0.0020690066667157,2.9066666666666667
test_000_1001,online,500.0,full,0,0.1867317425885755,0.064172089660159,0.0448300795372378,0.0777295733911786,0.2198656200792454,0.1335215812827753,0.0249178532311062,0.051879971077368,3.0,5.0,2.0,500.0,500.0,500.0,500.0,217.0,0.9292929292929292,60.0,0.0547187797902764,0.0533298999944236,0.0407981000025756,0.1081417000095825,0.0018023616668263,2.774193548387097
test_000_1002,online,500.0,full,0,0.5793983910458202,0.0431969220006995,0.0269324938789786,0.509268975166142,1.0745742108840737,0.573037927149831,0.5159694107062528,0.0342777194823364,3.0,2.0,-1.0,500.0,500.0,500.0,500.0,225.0,0.4666666666666667,60.0,0.0354943860919956,0.0483640999882482,0.0437514999939594,0.1095151999616064,0.0018252533326934,2.902222222222222
test_000_1003,online,500.0,full,0,0.266783523225241,0.0255915863277826,0.024715162138475,0.2164767747589833,0.4758615641189287,0.2515145951900128,0.2095595908996034,0.0226117440841367,5.0,5.0,0.0,500.0,500.0,500.0,500.0,228.0,0.776255707762557,60.0,0.0231348637015781,0.0513247999770101,0.0392669000138994,0.1064244000008329,0.0017737400000138,2.881578947368421
test_000_1004,online,500.0,full,0,0.315989847715736,0.1153236040609137,0.0115799492385786,0.1890862944162436,0.5657703555894351,0.2293279022403258,0.2269412269412269,0.1105647208121827,4.0,5.0,1.0,500.0,500.0,500.0,500.0,226.0,0.7978723404255319,60.0,0.1243088995897984,0.0464578999963123,0.0456581000180449,0.1066182000213302,0.0017769700003555,2.911504424778761
test_000_1005,online,500.0,full,0,0.1952008168822328,0.0660313138189244,0.0233151803948264,0.1058543226684819,0.2998248368362197,0.1414662084765177,0.0773044850123957,0.05428863172226,5.0,7.0,2.0,500.0,500.0,500.0,500.0,225.0,0.9108910891089108,60.0,0.057405074680583,0.048867200006498,0.0386148999969009,0.1004841999965719,0.0016747366666095,2.8844444444444446
test_000_1006,online,500.0,full,0,0.2094967396756395,0.0822604915565958,0.018558769436549,0.1086774786824945,0.3393174373888676,0.1414002745636399,0.0775780510879848,0.0737334893830463,5.0,7.0,2.0,500.0,500.0,500.0,500.0,224.0,0.9123711340206184,60.0,0.0796028880866425,0.0501127999741584,0.0392389000044204,0.1044069999770727,0.0017401166662845,2.8660714285714284
test_000_1007,online,500.0,full,0,0.4367816091954023,0.0718819694630296,0.0283067421513124,0.3365928975810602,0.6919761151119892,0.4273318872017353,0.3651750521678646,0.0650197289414994,2.0,3.0,1.0,500.0,500.0,500.0,500.0,223.0,0.605,60.0,0.0695412844036697,0.0476866999815683,0.0425158999860286,0.1051152999862097,0.0017519216664368,2.8430493273542603
test_000_1008,online,500.0,full,0,0.0752464971458225,0.0477426050856253,0.0164331430548348,0.0110707490053623,0.0878218137592083,0.038005644402634,0.0087032201914708,0.0403044455976474,2.0,2.0,0.0,500.0,500.0,500.0,500.0,224.0,0.9952153110047848,60.0,0.0419971160778658,0.0484760999970603,0.0385830999875906,0.1015667999745346,0.0016927799995755,2.9017857142857144
test_000_1009,online,500.0,full,0,0.3895058747786898,0.0928697891517785,0.0143248028327699,0.2823112827941413,0.7047826673335313,0.3365702078073412,0.3235743937076688,0.0856269113149847,3.0,3.0,0.0,500.0,500.0,500.0,500.0,229.0,0.689119170984456,60.0,0.0936454849498327,0.047984600008931,0.0465941999864298,0.1097852000093553,0.0018297533334892,2.938864628820961
test_000_1010,online,500.0,full,0,0.1740650122334848,0.0527787486892694,0.018350227193289,0.1029360363509262,0.2719651414585246,0.1336633663366336,0.0763903916901103,0.0410695560992659,5.0,6.0,1.0,500.0,500.0,500.0,500.0,221.0,0.9033816425120772,60.0,0.0428285037361035,0.0478546999802347,0.0542040000145789,0.1285676000115927,0.0021427933335265,2.8642533936651584
test_000_1011,online,500.0,full,0,0.186897880539499,0.0855812459858702,0.0208734746307,0.0804431599229287,0.4998980062641699,0.0814087759815242,0.1118024889602569,0.0828516377649325,3.0,3.0,0.0,500.0,500.0,500.0,500.0,233.0,0.9362745098039216,60.0,0.0903361344537815,0.1083068999869283,0.0444950000091921,0.1691700000083074,0.0028195000001384,2.918454935622317
test_000_1012,online,500.0,full,0,0.4167812929848693,0.1242549289316827,0.0221610881858474,0.2703652758673391,0.6864952229671331,0.3902439024390244,0.3709002861545234,0.1208925569310713,2.0,2.0,0.0,500.0,500.0,500.0,500.0,235.0,0.6436170212765957,60.0,0.1375173852573018,0.0646992000110913,0.0450721000088378,0.1273527000448666,0.0021225450007477,2.970212765957447
test_000_1013,online,500.0,full,0,0.1503290613093176,0.0481468652580533,0.0223415310010391,0.0798406650502251,0.4894487990146808,0.1127619047619047,0.0588235294117647,0.0453758226532732,5.0,4.0,-1.0,500.0,500.0,500.0,500.0,225.0,0.908653846153846,60.0,0.047532656023222,0.0609377000073436,0.0447535999992396,0.118754600000102,0.001979243333335,2.9066666666666667
test_000_1014,online,500.0,full,0,0.2928106649738137,0.0968100301539438,0.0172988414537375,0.1787017933661323,1.0256792443041758,0.1632772780602268,0.1083180987202925,0.094588160609427,5.0,6.0,1.0,500.0,500.0,500.0,500.0,232.0,0.9015544041450776,60.0,0.1035933391761612,0.0647029000101611,0.0495645000191871,0.1304125000315252,0.002173541667192,2.8663793103448274
test_000_1015,online,500.0,full,0,0.1776192902020716,0.0485651214128035,0.0249617931737137,0.1040923756155544,0.1703918624422057,0.1247439955315583,0.061047739754964,0.0439803022584479,3.0,7.0,4.0,500.0,500.0,500.0,500.0,230.0,0.9014084507042254,60.0,0.0460035523978685,0.0685363999800756,0.043752300000051,0.1289002999837976,0.0021483383330632,2.878260869565217
test_000_1016,online,500.0,full,0,0.336892247043364,0.0905059132720105,0.0226675427069645,0.2237187910643889,0.5164360150251935,0.2743519245875884,0.2535274356103023,0.0818002628120893,4.0,6.0,2.0,500.0,500.0,500.0,500.0,227.0,0.7587939698492462,60.0,0.089087656529517,0.0665275999926962,0.0439323000027798,0.1274188999959733,0.0021236483332662,2.845814977973568
test_000_1017,online,500.0,full,0,0.3515959197104311,0.0771635406383678,0.02319842053307,0.2512339585389931,0.4098469989238925,0.2891912610195477,0.1879981247069854,0.0707469562356038,4.0,8.0,4.0,500.0,500.0,500.0,500.0,230.0,0.77,60.0,0.0761331444759206,0.0692336999927647,0.0440438000077847,0.1297094000037759,0.0021618233333962,2.8217391304347825
test_000_1018,online,500.0,full,0,0.3229310344827586,0.0667241379310344,0.0236206896551724,0.2325862068965517,0.3098455791282113,0.2424420887318414,0.1080878681977034,0.0608620689655172,2.0,4.0,2.0,500.0,500.0,500.0,500.0,222.0,0.8,60.0,0.0648063154029741,0.0625869999930728,0.0432902000029571,0.1223049999971408,0.002038416666619,2.779279279279279
test_000_1019,online,500.0,full,0,0.4573975655751757,0.0560603463055031,0.0204011657809017,0.3809360534887708,0.9124850593926358,0.4035721071632149,0.3937387116195063,0.0488599348534201,4.0,3.0,-1.0,500.0,500.0,500.0,500.0,225.0,0.6238095238095238,60.0,0.0513698630136986,0.0645148999756202,0.0389190999849233,0.117045099963434,0.0019507516660572,2.893333333333333
test_000_1020,online,500.0,full,0,0.4413839435673496,0.0935505542492442,0.0298958683238159,0.3179375209942895,0.7152391377286371,0.4080808080808081,0.3556320708312838,0.0843130668458179,4.0,4.0,0.0,500.0,500.0,500.0,500.0,223.0,0.643979057591623,60.0,0.0920763022743947,0.0548261000076308,0.0439369999803602,0.1120277000009082,0.0018671283333484,2.8520179372197307
test_000_1021,online,500.0,full,0,0.2022653721682848,0.1111650485436893,0.0132686084142394,0.0778317152103559,0.2937329713931778,0.1110439338976219,0.0887532284573843,0.0985436893203883,5.0,5.0,0.0,500.0,500.0,500.0,500.0,223.0,0.9297297297297298,60.0,0.1093161012385568,0.0466833999962545,0.0423553000146057,0.1028606000181753,0.0017143433336362,2.896860986547085
