method,n_seeds,temperature,temperature_seed_sd,temperature_noise_scale,raw_ece,raw_ece_seed_sd,raw_ece_noise_scale,raw_ace,raw_ace_seed_sd,raw_ace_noise_scale,raw_mce,raw_mce_seed_sd,raw_mce_noise_scale,raw_brier,raw_brier_seed_sd,raw_brier_noise_scale,raw_nll,raw_nll_seed_sd,raw_nll_noise_scale,raw_accuracy,raw_accuracy_seed_sd,raw_accuracy_noise_scale,raw_mean_confidence,raw_mean_confidence_seed_sd,raw_mean_confidence_noise_scale,raw_overconfidence,raw_overconfidence_seed_sd,raw_overconfidence_noise_scale,raw_aurc,raw_aurc_seed_sd,raw_aurc_noise_scale,raw_aurc_oracle,raw_aurc_oracle_seed_sd,raw_aurc_oracle_noise_scale,raw_error_detection_auroc,raw_error_detection_auroc_seed_sd,raw_error_detection_auroc_noise_scale,raw_n,raw_n_seed_sd,raw_n_noise_scale,raw_n_excluded,raw_n_excluded_seed_sd,raw_n_excluded_noise_scale,cal_ece,cal_ece_seed_sd,cal_ece_noise_scale,cal_ace,cal_ace_seed_sd,cal_ace_noise_scale,cal_mce,cal_mce_seed_sd,cal_mce_noise_scale,cal_brier,cal_brier_seed_sd,cal_brier_noise_scale,cal_nll,cal_nll_seed_sd,cal_nll_noise_scale,cal_accuracy,cal_accuracy_seed_sd,cal_accuracy_noise_scale,cal_mean_confidence,cal_mean_confidence_seed_sd,cal_mean_confidence_noise_scale,cal_overconfidence,cal_overconfidence_seed_sd,cal_overconfidence_noise_scale,cal_aurc,cal_aurc_seed_sd,cal_aurc_noise_scale,cal_aurc_oracle,cal_aurc_oracle_seed_sd,cal_aurc_oracle_noise_scale,cal_error_detection_auroc,cal_error_detection_auroc_seed_sd,cal_error_detection_auroc_noise_scale,cal_n,cal_n_seed_sd,cal_n_noise_scale,cal_n_excluded,cal_n_excluded_seed_sd,cal_n_excluded_noise_scale,risk_at_coverage_100,risk_at_coverage_100_seed_sd,risk_at_coverage_100_noise_scale,risk_at_coverage_90,risk_at_coverage_90_seed_sd,risk_at_coverage_90_noise_scale,risk_at_coverage_80,risk_at_coverage_80_seed_sd,risk_at_coverage_80_noise_scale,risk_at_coverage_70,risk_at_coverage_70_seed_sd,risk_at_coverage_70_noise_scale,risk_at_coverage_50,risk_at_coverage_50_seed_sd,risk_at_coverage_50_noise_scale,aurc,aurc_seed_sd,aurc_noise_scale
online,3,0.09902323813989701,0.0515062021849188,0.07284076967624292,0.17786473189409588,0.012386813126020404,0.01751759911739913,0.17231872277350566,0.012569863537950286,0.01777647149254835,0.6436153968648118,0.22182943603477384,0.31371419697395214,0.1801185224349208,0.013248870123171537,0.018736731814308887,0.6167076505733398,0.03487256003266934,0.04931724735287093,0.7964344735105525,0.02503960792285388,0.03541135312100476,0.6251579564121367,0.011885064029337157,0.016808018739961232,-0.1712765170984157,0.013201108756782435,0.01866918704220395,0.148453390243501,0.044512171417004164,0.06294971650860332,0.022570936153195956,0.005480687941155498,0.007750863217516781,0.6754361525630586,0.04552912156086647,0.06438790119431066,4774.0,28.160255680657446,39.824615503479755,658.6666666666666,30.105370506494904,42.57542327055207,0.08347937299089576,0.05703862359594061,0.08066479506847325,0.0835305045823896,0.05226105085860251,0.07390828690810576,0.3920902256274908,0.20056076500105055,0.2836357539444089,0.15512435168619235,0.004218832066479381,0.005966329525789652,0.5061283340539471,0.014485414342080024,0.020485469419163314,0.7964344735105525,0.02503960792285388,0.03541135312100476,0.7855058992817626,0.08553884210808756,0.12097019061894822,-0.010928574228789826,0.10963278701560802,0.15504417427823383,0.11874019908862084,0.029255000840064018,0.041372818955254825,0.022570936153195956,0.005480687941155498,0.007750863217516781,0.7279154570601122,0.0393342390448223,0.055627014322813036,4774.0,28.160255680657446,39.824615503479755,658.6666666666666,30.105370506494904,42.57542327055207,0.20356552648944756,0.02503960792285388,0.03541135312100476,0.1693922818442453,0.022520056187590447,0.03184816888589455,0.15357276529524624,0.024770342356504296,0.03503055410519311,0.13619754320276797,0.0324032269856651,0.04582508306778145,0.12810890900660615,0.03835109634439475,0.054236640582120285,0.148453390243501,0.044512171417004164,0.06294971650860332
naive_online,3,0.09500145538289884,0.0354601118263696,0.050148171068118474,0.1717903764569928,0.028607621474716634,0.040457286276780066,0.16705327470762296,0.029008559959652572,0.04102429891985379,0.5589231851968676,0.21940150343618517,0.3102805817645003,0.1660718422427291,0.011796457119143261,0.01668270964584505,0.5641651079058095,0.03835085058962403,0.05423629303239051,0.805199189552143,0.02446187866553187,0.03459432056992024,0.6389344180016171,0.0057887066640293005,0.008186467472869753,-0.16626477155052588,0.028067524150400598,0.039693473315730914,0.11049538246731111,0.029121608109694577,0.04118417314684438,0.020611449418448873,0.005519080176751469,0.007805158037786427,0.739222756575931,0.05037131613247971,0.07123579842913548,4774.0,28.160255680657446,39.824615503479755,658.6666666666666,30.105370506494904,42.57542327055207,0.09433843805564861,0.04212067635584832,0.059567631758768454,0.09044027669999688,0.043391130708288206,0.06136432553436487,0.3774007307428235,0.10944662933814928,0.1547809075660318,0.14069972181159174,0.016786600102669687,0.023739837531329064,0.4597599335019423,0.04487031529490509,0.0634562084380117,0.805199189552143,0.02446187866553187,0.03459432056992024,0.7845124615213311,0.0653890636433856,0.0924741006353534,-0.02068672803081188,0.07750968770182781,0.10961525156322799,0.08789465512509237,0.02581582090262749,0.03650908404429064,0.020611449418448873,0.005519080176751469,0.007805158037786427,0.7866739477432395,0.03247395223078174,0.045925103668627565,4774.0,28.160255680657446,39.824615503479755,658.6666666666666,30.105370506494904,42.57542327055207,0.19480081044785694,0.024461878665531844,0.034594320569920206,0.15509148792464303,0.03125001849863926,0.04419419998518575,0.13030477175909858,0.037930560585297264,0.05364191320814176,0.11607943357056029,0.04580068573895103,0.06477195093801255,0.09152392422989315,0.034709840061346274,0.049087126562556885,0.11049538246731111,0.029121608109694577,0.04118417314684438
offline_ahc,3,0.42957807806558973,0.3090262110572095,0.4370290588058762,0.09796936195996005,0.01675170176671512,0.02369048383131786,0.09715650099730051,0.014492332601330971,0.02049525331522402,0.21165733427098618,0.05764934908086692,0.08152849133214292,0.17751678705985866,0.028444939849447255,0.04022721971597521,1.1026125055166316,0.15493077556030707,0.21910520402636832,0.758411276122172,0.03873987710426913,0.05478645960552435,0.8493740757765176,0.016385533388380478,0.023172643544564848,0.09096279965434555,0.02241157750315424,0.031694756859136475,0.217862901138692,0.04736753997749289,0.06698781745242022,0.03254474086227743,0.010196645738537197,0.01442023469415313,0.6347981084009465,0.051306911474908325,0.07255893005129113,4774.0,28.160255680657446,39.824615503479755,658.6666666666666,30.105370506494904,42.57542327055207,0.14323005874715194,0.06925689722443375,0.09794404334267377,0.1451135502718211,0.0667348936870604,0.09437739173576747,0.3559755869515495,0.14274528395960884,0.20187231654047746,0.1921961847197601,0.0021489280936461746,0.0030390432545989807,0.6087917823729073,0.04919715149012109,0.06957527886745297,0.758411276122172,0.03873987710426913,0.05478645960552435,0.6981304068925841,0.09473750257252389,0.13397906100341928,-0.06028086922958772,0.12738714734468315,0.18015263144687071,0.2142327899075167,0.0507073042823986,0.07171095742754742,0.03254474086227743,0.010196645738537197,0.01442023469415313,0.6348248746715058,0.04583680189871782,0.06482302690097558,4774.0,28.160255680657446,39.824615503479755,658.6666666666666,30.105370506494904,42.57542327055207,0.24158872387782807,0.03873987710426911,0.05478645960552433,0.20304674863267627,0.04171227349357038,0.058990062892023,0.18065412352586785,0.04270788711733834,0.06039807318163907,0.1738830469164335,0.04262999409369856,0.06028791581119344,0.176133677552323,0.038540976878525195,0.05450517220871821,0.217862901138692,0.04736753997749289,0.06698781745242022
