variant,der,der_seed_sd,der_noise_scale,der_n_contributing,confusion,confusion_seed_sd,confusion_noise_scale,confusion_n_contributing,jer,jer_seed_sd,jer_noise_scale,jer_n_contributing,turn_accuracy,turn_accuracy_seed_sd,turn_accuracy_noise_scale,turn_accuracy_n_contributing,speaker_count_error,speaker_count_error_seed_sd,speaker_count_error_noise_scale,speaker_count_error_n_contributing,miss,miss_seed_sd,miss_noise_scale,miss_n_contributing,false_alarm,false_alarm_seed_sd,false_alarm_noise_scale,false_alarm_n_contributing,der_no_overlap,der_no_overlap_seed_sd,der_no_overlap_noise_scale,der_no_overlap_n_contributing,der_collar250ms,der_collar250ms_seed_sd,der_collar250ms_noise_scale,der_collar250ms_n_contributing,latency_median_ms,latency_median_ms_seed_sd,latency_median_ms_noise_scale,latency_median_ms_n_contributing,latency_p95_ms,latency_p95_ms_seed_sd,latency_p95_ms_noise_scale,latency_p95_ms_n_contributing,n_speakers_pred,n_speakers_pred_seed_sd,n_speakers_pred_noise_scale,n_speakers_pred_n_contributing,rtf,rtf_seed_sd,rtf_noise_scale,rtf_n_contributing,overlap_miss_floor,overlap_miss_floor_seed_sd,overlap_miss_floor_noise_scale,overlap_miss_floor_n_contributing,n_seeds
online,0.4875260052622414,,,3,0.3868248306977673,,,3,0.8907548819134403,,,3,0.5916666666666667,,,3,-1.6666666666666667,,,3,0.05947800068998707,,,3,0.0412231738744868,,,3,0.480388774006663,,,3,0.39506229293327744,,,3,500.0,,,3,500.0,,,3,1.3333333333333333,,,3,0.01888736111141037,,,3,0.03926466645363877,,,3,1
naive_online,0.47209390649680927,,,3,0.3713927319323352,,,3,0.8705895259949084,,,3,0.6083333333333333,,,3,-1.6666666666666667,,,3,0.05947800068998707,,,3,0.0412231738744868,,,3,0.46481245001912413,,,3,0.38147316423623506,,,3,0.0,,,3,0.0,,,3,1.3333333333333333,,,3,0.018162602778627603,,,3,0.03926466645363877,,,3,1
offline_ahc,0.4674642768671797,,,3,0.3667631023027056,,,3,0.8429967789829237,,,3,0.6166666666666667,,,3,-1.3333333333333333,,,3,0.05947800068998707,,,3,0.0412231738744868,,,3,0.46013955282286245,,,3,0.3722805183529417,,,3,5458.333333333333,,,3,10320.833333333334,,,3,1.6666666666666667,,,3,0.015770411110780598,,,3,0.03926466645363877,,,3,1
offline_spectral,0.4326697241045203,,,3,0.3319685495400464,,,3,0.7104348689410105,,,3,0.6387254901960785,,,3,0.3333333333333333,,,3,0.05947800068998707,,,3,0.0412231738744868,,,3,0.41949485773110834,,,3,0.3247215416178806,,,3,5458.333333333333,,,3,10320.833333333334,,,3,3.3333333333333335,,,3,0.018641761111211897,,,3,0.03926466645363877,,,3,1
online_oracle_count,0.4875260052622414,,,3,0.3868248306977673,,,3,0.8907548819134403,,,3,0.5916666666666667,,,3,-1.6666666666666667,,,3,0.05947800068998707,,,3,0.0412231738744868,,,3,0.480388774006663,,,3,0.39506229293327744,,,3,500.0,,,3,500.0,,,3,1.3333333333333333,,,3,0.0228834944460282,,,3,0.03926466645363877,,,3,1
offline_ahc_oracle_count,0.4674642768671797,,,3,0.3667631023027056,,,3,0.8429967789829237,,,3,0.6166666666666667,,,3,-1.3333333333333333,,,3,0.05947800068998707,,,3,0.0412231738744868,,,3,0.46013955282286245,,,3,0.3722805183529417,,,3,5458.333333333333,,,3,10320.833333333334,,,3,1.6666666666666667,,,3,0.017240958333584532,,,3,0.03926466645363877,,,3,1
online_oracle_vad,0.43643111050445244,,,3,0.3484949852161805,,,3,0.7919699751272699,,,3,0.6235294117647059,,,3,-1.3333333333333333,,,3,0.05703745019253564,,,3,0.030898675095736062,,,3,0.42687217980168857,,,3,0.33631555664084917,,,3,500.0,,,3,500.0,,,3,1.6666666666666667,,,3,0.02007323333317693,,,3,0.03926466645363877,,,3,1
offline_ahc_oracle_vad,0.4482409730317542,,,3,0.3603048477434823,,,3,0.8226666639500806,,,3,0.6151960784313726,,,3,-1.3333333333333333,,,3,0.05703745019253564,,,3,0.030898675095736062,,,3,0.4404049761900726,,,3,0.35869138965589936,,,3,5416.666666666667,,,3,10408.333333333334,,,3,1.6666666666666667,,,3,0.026071125001180865,,,3,0.03926466645363877,,,3,1
