centroid_momentum,latency_budget_ms,der,confusion,jer,speaker_count_bias
0.05,0.0,0.33560787615998255,0.2201990256485985,0.4983820006270647,0.875
0.05,250.0,0.30036246039063536,0.1849536098792513,0.4579614224590652,0.875
0.05,500.0,0.28550157470223203,0.170092724190848,0.39348274982380915,1.375
0.05,1000.0,0.2897665939026943,0.17435774339131027,0.4115769357112916,1.625
0.05,2000.0,0.28629180978183916,0.17088295927045513,0.42083017468888406,1.5
0.1,0.0,0.3239401534310885,0.20853130291970448,0.4882087633860053,0.75
0.1,250.0,0.3207913363721677,0.20538248586078367,0.4692676556925625,1.0
0.1,500.0,0.27753235837461754,0.1621235078632335,0.4114887678413618,1.0
0.1,1000.0,0.2723872030636534,0.15697835255226933,0.39811162430652014,1.5
0.1,2000.0,0.2590438467360755,0.14363499622469145,0.3830140111314073,1.25
0.2,0.0,0.3429171992048831,0.2275083486934991,0.5457633315217746,0.375
0.2,250.0,0.3020361119312274,0.18662726141984343,0.4594767828695436,0.5
0.2,500.0,0.26783450605890263,0.15242565554751858,0.3999774867897111,0.75
0.2,1000.0,0.29203075050009486,0.17662189998871086,0.4338871821544098,1.25
0.2,2000.0,0.2854249505648466,0.17001610005346257,0.44197163115149374,1.25
0.35,0.0,0.3890212554941017,0.2736124049827177,0.6067521413980661,0.5
0.35,250.0,0.34516934725792126,0.22976049674653723,0.5505230285210875,0.25
0.35,500.0,0.3075053296537189,0.19209647914233494,0.46847430620545105,0.75
0.35,1000.0,0.2954340213855973,0.18002517087421327,0.4420845011846507,1.5
0.35,2000.0,0.31088968250693727,0.19548083199555322,0.4645914792022664,1.25
0.6,0.0,0.47741798732532015,0.3620091368139361,0.7714273741065814,-0.125
0.6,250.0,0.437316742450514,0.32190789193912994,0.7111839333476588,0.25
0.6,500.0,0.34976886672639346,0.23436001621500943,0.5657988437694356,0.5
0.6,1000.0,0.35718079986428947,0.24177194935290547,0.5271488266269412,1.25
0.6,2000.0,0.3993775893557897,0.28396873884440565,0.623808412267763,2.125
1.0,0.0,0.5331591727566769,0.41775032224529285,0.8537068319445171,0.5
1.0,250.0,0.4471348149348682,0.3317259644234842,0.7069149779756048,0.375
1.0,500.0,0.4106766867081041,0.29526783619672003,0.6682683157745412,0.875
1.0,1000.0,0.5037057721756626,0.3882969216642785,0.711467030611322,3.125
1.0,2000.0,0.5257629674816505,0.41035411697026647,0.7147296248637351,4.5
