recording,method,latency_budget_ms,variant,seed,oracle_count,oracle_vad,der,miss,false_alarm,confusion,jer,der_no_overlap,der_collar250ms,overlap_miss_floor,n_speakers_true,n_speakers_pred,speaker_count_error,latency_median_ms,latency_p95_ms,latency_max_ms,latency_first_ms,n_decisions,turn_accuracy,duration_s,overlap_fraction,embed_s,cluster_s,total_s,rtf,extra_mean_query_size,extra_k_estimated
test_000_1000,online,500.0,online,0,False,False,0.1542347196497727,0.0756019531907728,0.0227310995117023,0.0559016669472975,0.1728375834219192,0.076008575326447,0.0660994764397905,0.0680249200202054,3.0,4.0,1.0,500.0,500.0,500.0,500.0,225.0,0.964824120603015,60.0,0.0729900632339656,0.0740573999937623,0.0321653000137303,0.1260340000153519,0.0021005666669225,2.9066666666666667,
test_000_1001,online,500.0,online,0,False,False,0.2033622559652928,0.064172089660159,0.0448300795372378,0.0943600867678958,0.2575763399225652,0.1492537313432835,0.0254654983570646,0.051879971077368,3.0,5.0,2.0,500.0,500.0,500.0,500.0,217.0,0.914141414141414,60.0,0.0547187797902764,0.0646414999791886,0.0278194999846164,0.1130892999644856,0.0018848216660747,2.774193548387097,
test_000_1002,online,500.0,online,0,False,False,0.4942287513116474,0.0431969220006995,0.0269324938789786,0.4240993354319692,0.9400397019591024,0.481599699586932,0.4192532613585245,0.0342777194823364,3.0,3.0,0.0,500.0,500.0,500.0,500.0,225.0,0.5619047619047619,60.0,0.0354943860919956,0.2594307999825105,0.050231100001838,0.3314538999693468,0.0055242316661557,2.902222222222222,
test_000_1003,online,500.0,online,0,False,False,0.2953549517966696,0.0255915863277826,0.024715162138475,0.2450482033304119,0.5290571150554737,0.2720763723150358,0.2266750156543519,0.0226117440841367,5.0,5.0,0.0,500.0,500.0,500.0,500.0,228.0,0.7579908675799086,60.0,0.0231348637015781,0.0489464999991469,0.0555631000024732,0.1258661999891046,0.0020977699998184,2.881578947368421,
test_000_1004,online,500.0,online,0,False,False,0.3278870558375634,0.1153236040609137,0.0115799492385786,0.200983502538071,0.6266978705841664,0.2344195519348269,0.2342342342342342,0.1105647208121827,4.0,5.0,1.0,500.0,500.0,500.0,500.0,226.0,0.7925531914893617,60.0,0.1243088995897984,0.0520076000248082,0.057871899974998,0.1315007999946829,0.0021916799999113,2.911504424778761,
test_000_1005,online,500.0,online,0,False,False,0.2685500340367597,0.0660313138189244,0.0233151803948264,0.1792035398230088,0.5870374760836172,0.2289041618938526,0.1636240703177822,0.05428863172226,5.0,4.0,-1.0,500.0,500.0,500.0,500.0,225.0,0.8217821782178217,60.0,0.057405074680583,0.0538451000174973,0.0572933999937959,0.1324396000127308,0.0022073266668788,2.8844444444444446,
test_000_1006,online,500.0,online,0,False,False,0.1889316167864905,0.0822604915565958,0.018558769436549,0.0881123557933456,0.306179931065082,0.1319866640517748,0.0657521286660359,0.0737334893830463,5.0,5.0,0.0,500.0,500.0,500.0,500.0,224.0,0.9123711340206184,60.0,0.0796028880866425,0.0508677000179886,0.067582100018626,0.1429014000459574,0.0023816900007659,2.8660714285714284,
test_000_1007,online,500.0,online,0,False,False,0.3192657402641962,0.0718819694630296,0.0283067421513124,0.2190770286498541,0.5200357246546145,0.2922500492999408,0.2573614653373522,0.0650197289414994,2.0,3.0,1.0,500.0,500.0,500.0,500.0,223.0,0.745,60.0,0.0695412844036697,0.0600427000026684,0.0559711999958381,0.1373058000172022,0.0022884300002867,2.8430493273542603,
test_000_1008,online,500.0,online,0,False,False,0.0799169693824597,0.0477426050856253,0.0164331430548348,0.0157412212419996,0.0974145330101448,0.0430856067732831,0.0110966057441253,0.0403044455976474,2.0,2.0,0.0,500.0,500.0,500.0,500.0,224.0,0.985645933014354,60.0,0.0419971160778658,0.0509310999768786,0.0603785999992396,0.1340770999959204,0.0022346183332653,2.9017857142857144,
test_000_1009,online,500.0,online,0,False,False,0.3895058747786898,0.0928697891517785,0.0143248028327699,0.2823112827941413,0.7061859612347114,0.3295785589434841,0.3240113611535941,0.0856269113149847,3.0,2.0,-1.0,500.0,500.0,500.0,500.0,229.0,0.694300518134715,60.0,0.0936454849498327,0.0554398999956902,0.0600199000036809,0.1401052000001073,0.0023350866666684,2.938864628820961,
test_000_1010,online,500.0,online,0,False,False,0.2757777001048584,0.0527787486892694,0.018350227193289,0.2046487242222999,0.472080052884122,0.2509520182787509,0.206016013849816,0.0410695560992659,5.0,6.0,1.0,500.0,500.0,500.0,500.0,221.0,0.7777777777777778,60.0,0.0428285037361035,0.0741166000079829,0.0485197999805677,0.1413130000000819,0.002355216666668,2.8642533936651584,
test_000_1011,online,500.0,online,0,False,False,0.1963712267180475,0.0855812459858702,0.0208734746307,0.0899165061014772,0.5349728204697589,0.0981524249422632,0.1152147731834604,0.0828516377649325,3.0,3.0,0.0,500.0,500.0,500.0,500.0,233.0,0.9166666666666666,60.0,0.0903361344537815,0.061301400011871,0.0571539000084158,0.1365862000093329,0.0022764366668222,2.918454935622317,
test_000_1012,online,500.0,online,0,False,False,0.5210148250038209,0.1242549289316827,0.0221610881858474,0.3745988078862907,0.8962951715760705,0.5277161862527716,0.4891041162227603,0.1208925569310713,2.0,1.0,-1.0,500.0,500.0,500.0,500.0,235.0,0.5106382978723404,60.0,0.1375173852573018,0.0500796000123955,0.0553164000157266,0.1270166000176686,0.0021169433336278,2.970212765957447,
test_000_1013,online,500.0,online,0,False,False,0.1456529269137513,0.0481468652580533,0.0223415310010391,0.0751645306546588,0.5094906845637464,0.1072380952380952,0.0577422145328719,0.0453758226532732,5.0,4.0,-1.0,500.0,500.0,500.0,500.0,225.0,0.9230769230769232,60.0,0.047532656023222,0.0508034999947994,0.0674490999954287,0.1400103000050876,0.0023335050000847,2.9066666666666667,
test_000_1014,online,500.0,online,0,False,False,0.281066497381368,0.0968100301539438,0.0172988414537375,0.1669576257736867,1.177440437011339,0.1525224872897927,0.1103747714808043,0.094588160609427,5.0,6.0,1.0,500.0,500.0,500.0,500.0,232.0,0.8963730569948186,60.0,0.1035933391761612,0.0527733000053558,0.0601089000119827,0.1357882000156678,0.0022631366669277,2.8663793103448274,
test_000_1015,online,500.0,online,0,False,False,0.1614875191034131,0.0485651214128035,0.0249617931737137,0.0879606045168959,0.1514448147105265,0.1107801154347421,0.0466835656949725,0.0439803022584479,3.0,6.0,3.0,500.0,500.0,500.0,500.0,230.0,0.9154929577464788,60.0,0.0460035523978685,0.057715900009498,0.0692727999994531,0.1528880000114441,0.002548133333524,2.878260869565217,
test_000_1016,online,500.0,online,0,False,False,0.2187910643889619,0.0905059132720105,0.0226675427069645,0.1056176084099868,0.2162456144299055,0.1250981932443048,0.0983202687569988,0.0818002628120893,4.0,6.0,2.0,500.0,500.0,500.0,500.0,227.0,0.914572864321608,60.0,0.089087656529517,0.0487031000084243,0.0526727999967988,0.1188146999920718,0.0019802449998678,2.845814977973568,
test_000_1017,online,500.0,online,0,False,False,0.2410332346166502,0.0771635406383678,0.02319842053307,0.1406712734452122,0.2689988069869715,0.1801456496742046,0.0958743553680262,0.0707469562356038,4.0,7.0,3.0,500.0,500.0,500.0,500.0,230.0,0.875,60.0,0.0761331444759206,0.0495135000091977,0.0547290999966207,0.1260541999945417,0.0021009033332423,2.8217391304347825,
test_000_1018,online,500.0,online,0,False,False,0.2768965517241379,0.0667241379310344,0.0236206896551724,0.186551724137931,0.2737709970719679,0.21044365920691,0.0726410384423364,0.0608620689655172,2.0,4.0,2.0,500.0,500.0,500.0,500.0,222.0,0.83,60.0,0.0648063154029741,0.0476202999998349,0.0644961999787483,0.1352633999777026,0.0022543899996283,2.779279279279279,
test_000_1019,online,500.0,online,0,False,False,0.2779015943768215,0.0560603463055031,0.0204011657809017,0.2014400822904166,0.5356753029174846,0.2538476154284628,0.2229580573951435,0.0488599348534201,4.0,3.0,-1.0,500.0,500.0,500.0,500.0,225.0,0.7666666666666667,60.0,0.0513698630136986,0.0702232999901752,0.0616230999876279,0.1580782999808434,0.002634638333014,2.893333333333333,
test_000_1020,online,500.0,online,0,False,False,0.4126637554585153,0.0935505542492442,0.0298958683238159,0.2892173328854551,0.7260730593706763,0.3886868686868687,0.3020167240531234,0.0843130668458179,4.0,4.0,0.0,500.0,500.0,500.0,500.0,223.0,0.6596858638743456,60.0,0.0920763022743947,0.1202586999861523,0.1284824000031221,0.27114579998306,0.0045190966663843,2.8520179372197307,
test_000_1021,online,500.0,online,0,False,False,0.3953074433656958,0.1111650485436893,0.0132686084142394,0.270873786407767,0.6011260245377761,0.3147924224103184,0.3240197229396572,0.0985436893203883,5.0,5.0,0.0,500.0,500.0,500.0,500.0,223.0,0.7297297297297297,60.0,0.1093161012385568,0.1099333000020124,0.0540519999922253,0.1866703999985475,0.0031111733333091,2.896860986547085,
test_000_1022,online,500.0,online,0,False,False,0.6154770075497598,0.0427247769389155,0.0250514756348661,0.547700754975978,0.9510291734327894,0.6186219739292365,0.5739773716275022,0.039293067947838,5.0,3.0,-2.0,500.0,500.0,500.0,500.0,229.0,0.4075829383886256,60.0,0.0409001607429898,0.0998324000102002,0.0583948999992571,0.1762435999989975,0.0029373933333166,2.921397379912664,
test_000_1023,online,500.0,online,0,False,False,0.4050592885375494,0.1141501976284585,0.0232411067193675,0.2676679841897233,0.698080739268705,0.3699775647562717,0.3300189393939394,0.1124110671936758,5.0,4.0,-1.0,500.0,500.0,500.0,500.0,230.0,0.6648648648648648,60.0,0.1266476665479159,0.0639315000153146,0.0574046999972779,0.1431533000140916,0.0023858883335681,2.9217391304347826,
test_000_1000,naive_online,500.0,naive_online,0,False,False,0.1384071392490318,0.0756019531907728,0.0227310995117023,0.0400740865465566,0.2023247795760574,0.0814656012473202,0.0414485165794066,0.0680249200202054,3.0,3.0,0.0,0.0,0.0,0.0,0.0,225.0,0.964824120603015,60.0,0.0729900632339656,0.0791331999935209,0.0281172000104561,0.130134300008649,0.0021689050001441,,
test_000_1001,naive_online,500.0,naive_online,0,False,False,0.291937816341287,0.064172089660159,0.0448300795372378,0.1829356471438901,0.3797188550606048,0.254538120209762,0.1169222343921139,0.051879971077368,3.0,4.0,1.0,0.0,0.0,0.0,0.0,217.0,0.8131313131313131,60.0,0.0547187797902764,0.0539023000164888,0.0266398999956436,0.098490100033814,0.0016415016672302,,
test_000_1002,naive_online,500.0,naive_online,0,False,False,0.2579573277369709,0.0431969220006995,0.0269324938789786,0.1878279118572927,0.5386693841146356,0.240142696207285,0.1578947368421052,0.0342777194823364,3.0,3.0,0.0,0.0,0.0,0.0,0.0,225.0,0.8047619047619048,60.0,0.0354943860919956,0.0501031000167131,0.0275275000021792,0.0944852000393439,0.001574753333989,,
test_000_1003,naive_online,500.0,naive_online,0,False,False,0.2156003505696757,0.0255915863277826,0.024715162138475,0.165293602103418,0.4283801970187266,0.1931338351386084,0.1218952202045502,0.0226117440841367,5.0,5.0,0.0,0.0,0.0,0.0,0.0,228.0,0.8356164383561644,60.0,0.0231348637015781,0.0496631999849341,0.0277776999864727,0.0967091999773401,0.0016118199996223,,
test_000_1004,naive_online,500.0,naive_online,0,False,False,0.2342956852791878,0.1153236040609137,0.0115799492385786,0.1073921319796954,0.3861738324117734,0.1443991853360488,0.1409266409266409,0.1105647208121827,4.0,5.0,1.0,0.0,0.0,0.0,0.0,226.0,0.8776595744680851,60.0,0.1243088995897984,0.0495600000140257,0.0290961000137031,0.0982345000375062,0.0016372416672917,,
test_000_1005,naive_online,500.0,naive_online,0,False,False,0.2323008849557522,0.0660313138189244,0.0233151803948264,0.1429543907420013,0.3053967583603606,0.1951126384116074,0.1178724363308541,0.05428863172226,5.0,6.0,1.0,0.0,0.0,0.0,0.0,225.0,0.8514851485148515,60.0,0.057405074680583,0.0467160000116564,0.0470703000028152,0.1191102000011596,0.0019851700000193,,
test_000_1006,naive_online,500.0,naive_online,0,False,False,0.2028088948336398,0.0822604915565958,0.018558769436549,0.1019896338404949,0.3750015884855284,0.146695430476564,0.0681173131504257,0.0737334893830463,5.0,5.0,0.0,0.0,0.0,0.0,0.0,224.0,0.9072164948453608,60.0,0.0796028880866425,0.0581698000023607,0.0228806000086478,0.0932395000127144,0.0015539916668785,,
test_000_1007,naive_online,500.0,naive_online,0,False,False,0.2250814891061931,0.0718819694630296,0.0283067421513124,0.124892777491851,0.3299945474759062,0.1839873792151449,0.120102017157431,0.0650197289414994,2.0,3.0,1.0,0.0,0.0,0.0,0.0,223.0,0.865,60.0,0.0695412844036697,0.0454310000059194,0.0324816000065766,0.0945490000303834,0.001575816667173,,
test_000_1008,naive_online,500.0,naive_online,0,False,False,0.1210863172461511,0.0477426050856253,0.0164331430548348,0.056910569105691,0.1826752284821384,0.0878645343367827,0.0267624020887728,0.0403044455976474,2.0,2.0,0.0,0.0,0.0,0.0,0.0,224.0,0.9425837320574164,60.0,0.0419971160778658,0.049233900004765,0.0255640000104904,0.0970644000044558,0.0016177400000742,,
test_000_1009,naive_online,500.0,naive_online,0,False,False,0.4160630935136005,0.0928697891517785,0.0143248028327699,0.308868501529052,0.7509733178192196,0.3969702854923286,0.3334061612409875,0.0856269113149847,3.0,3.0,0.0,0.0,0.0,0.0,0.0,229.0,0.6321243523316062,60.0,0.0936454849498327,0.0517562000022735,0.0266946000047028,0.0985259000153746,0.0016420983335895,,
