recording,method,latency_budget_ms,seed,budget_windows,der,miss,false_alarm,confusion,jer,der_no_overlap,der_collar250ms,overlap_miss_floor,n_speakers_true,n_speakers_pred,speaker_count_error,latency_median_ms,latency_p95_ms,latency_max_ms,latency_first_ms,n_decisions,turn_accuracy,duration_s,overlap_fraction,embed_s,cluster_s,total_s,rtf,extra_mean_query_size,extra_k_estimated
test_000_1000,online,0.0,0,0,0.1542347196497727,0.0756019531907728,0.0227310995117023,0.0559016669472975,0.2329038545909063,0.0997856168388228,0.0589005235602094,0.0680249200202054,3.0,3.0,0.0,0.0,0.0,0.0,0.0,225.0,0.9447236180904522,60.0,0.0729900632339656,0.0899880000215489,0.0349450999929104,0.1501028000202495,0.0025017133336708,1.0,
test_000_1001,online,0.0,0,0,0.2744034707158351,0.064172089660159,0.0448300795372378,0.1654013015184381,0.3911020053063143,0.2349737797498991,0.1056955093099671,0.051879971077368,3.0,5.0,2.0,0.0,0.0,0.0,0.0,217.0,0.8333333333333334,60.0,0.0547187797902764,0.0658856999943964,0.0421234000241383,0.1284423000179231,0.0021407050002987,1.0,
test_000_1002,online,0.0,0,0,0.4073102483385799,0.0431969220006995,0.0269324938789786,0.3371808324589017,0.8048341047284019,0.384904243334585,0.3153396311291048,0.0342777194823364,3.0,3.0,0.0,0.0,0.0,0.0,0.0,225.0,0.6523809523809524,60.0,0.0354943860919956,0.0731032000039704,0.0537294000096153,0.1557307000039145,0.0025955116667319,1.0,
test_000_1003,online,0.0,0,0,0.3307624890446976,0.0255915863277826,0.024715162138475,0.2804557405784399,0.6192839478622693,0.3185239581420965,0.2552702984763097,0.0226117440841367,5.0,5.0,0.0,0.0,0.0,0.0,0.0,228.0,0.7077625570776256,60.0,0.0231348637015781,0.0652986000059172,0.04069000002346,0.1327445000351872,0.0022124083339197,1.0,
test_000_1004,online,0.0,0,0,0.3304251269035533,0.1153236040609137,0.0115799492385786,0.2035215736040609,0.6175001788360335,0.2604887983706721,0.252037752037752,0.1105647208121827,4.0,4.0,0.0,0.0,0.0,0.0,0.0,226.0,0.7606382978723404,60.0,0.1243088995897984,0.0591107000072952,0.0244806999980937,0.107281900011003,0.00178803166685,1.0,
test_000_1005,online,0.0,0,0,0.2830156569094622,0.0660313138189244,0.0233151803948264,0.1936691626957113,0.4176902969233007,0.2535318823978618,0.1751183231913455,0.05428863172226,5.0,6.0,1.0,0.0,0.0,0.0,0.0,225.0,0.7871287128712872,60.0,0.057405074680583,0.0517783999966923,0.0381232000072486,0.1060787000169511,0.0017679783336158,1.0,
test_000_1006,online,0.0,0,0,0.2573148302959371,0.0822604915565958,0.018558769436549,0.1564955693027921,0.4149261444568796,0.2055304961757207,0.1208609271523178,0.0737334893830463,5.0,6.0,1.0,0.0,0.0,0.0,0.0,224.0,0.845360824742268,60.0,0.0796028880866425,0.0710147999925538,0.0358048999914899,0.1301965999882668,0.0021699433331377,1.0,
test_000_1007,online,0.0,0,0,0.3621547435237605,0.0718819694630296,0.0283067421513124,0.2619660319094184,0.606388658749885,0.3415499901400118,0.2868073266867609,0.0650197289414994,2.0,3.0,1.0,0.0,0.0,0.0,0.0,223.0,0.705,60.0,0.0695412844036697,0.0921557999972719,0.0434320999775081,0.1592587999475654,0.0026543133324594,1.0,
test_000_1008,online,0.0,0,0,0.1184916104480193,0.0477426050856253,0.0164331430548348,0.0543158623075592,0.1769395872164441,0.0850423330197554,0.0267624020887728,0.0403044455976474,2.0,2.0,0.0,0.0,0.0,0.0,0.0,224.0,0.9473684210526316,60.0,0.0419971160778658,0.0633191999804694,0.0491956000041682,0.1397685999982059,0.0023294766666367,1.0,
test_000_1009,online,0.0,0,0,0.4199259616932239,0.0928697891517785,0.0143248028327699,0.3127313697086754,0.7647316985357993,0.3732763643425908,0.332532226349137,0.0856269113149847,3.0,3.0,0.0,0.0,0.0,0.0,0.0,229.0,0.6580310880829016,60.0,0.0936454849498327,0.0860836999781895,0.0437346000107936,0.1547039999859407,0.0025783999997656,1.0,
