method,n_parameters,total_median_ms,total_iqr_ms,total_p95_ms,embed_ms,vad_ms,cluster_ms,cluster_ms_per_decision,rtf,audio_s,n_decisions,emission_latency_median_ms,emission_latency_p95_ms,emission_latency_max_ms,emission_latency_first_ms,repeats,warmup
online,52144,103.01250001066364,10.404699976788834,226.4592600229661,44.46910001570359,14.751399983651936,42.45129998889752,0.1886724443951001,0.0017168750001777275,60.0,225,500.0,500.0,500.0,500.0,25,8
naive_online,52144,88.56129998457618,24.192499986384064,134.1475599852856,44.61819998687133,15.901500009931624,25.386900000739843,0.11283066666995485,0.001476021666409603,60.0,225,0.0,0.0,0.0,0.0,25,8
offline_ahc,52144,82.18660001875833,12.332099984632805,99.62305999943054,41.57339999801479,14.413299999432638,31.08099999371916,0.13813777774986294,0.0013697766669793054,60.0,225,29500.0,56199.99999999999,59000.0,59000.0,25,8
offline_spectral,52144,88.74020000803284,11.52990001719445,102.4459199979901,42.039899999508634,10.150100017199293,25.118800025666133,0.11163911122518282,0.0014790033334672141,60.0,225,29500.0,56199.99999999999,59000.0,59000.0,25,8
